,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes,series,series_game,num_series_wins,opp_series_wins,series_winner
0,25737,198404170BOS,NBA,1,1984,1984-04-17,83,1,WSB,Wizards,83,1435.0675,1433.4152,33.988476,BOS,Celtics,91,1686.8444,1688.4967,A,L,0.11660397,,WSB_BOS,1.0,1,3,BOS
1,25745,198404190BOS,NBA,1,1984,1984-04-19,84,1,WSB,Wizards,85,1433.4152,1432.4167,33.886852,BOS,Celtics,88,1688.4967,1689.4951,A,L,0.11465865,,WSB_BOS,2.0,1,3,BOS
2,25755,198404210WSB,NBA,0,1984,1984-04-21,85,1,WSB,Wizards,111,1432.4167,1441.5197,34.816555,BOS,Celtics,108,1689.4951,1680.3922,H,W,0.28818491,,WSB_BOS,3.0,1,3,BOS
3,25766,198404240WSB,NBA,0,1984,1984-04-24,86,1,WSB,Wizards,96,1441.5197,1438.3986,34.497005,BOS,Celtics,99,1680.3922,1683.5133,H,L,0.31015074,,WSB_BOS,4.0,1,3,BOS
4,25737,198404170BOS,NBA,0,1984,1984-04-17,83,1,BOS,Celtics,91,1686.8444,1688.4967,59.292637,WSB,Wizards,83,1435.0675,1433.4152,H,W,0.88339603,,BOS_WSB,1.0,3,1,BOS
5,25745,198404190BOS,NBA,0,1984,1984-04-19,84,1,BOS,Celtics,88,1688.4967,1689.4951,59.376423,WSB,Wizards,85,1433.4152,1432.4167,H,W,0.88534135,,BOS_WSB,2.0,3,1,BOS
6,25755,198404210WSB,NBA,1,1984,1984-04-21,85,1,BOS,Celtics,108,1689.4951,1680.3922,58.60548,WSB,Wizards,111,1432.4167,1441.5197,A,L,0.71181512,,BOS_WSB,3.0,3,1,BOS
7,25766,198404240WSB,NBA,1,1984,1984-04-24,86,1,BOS,Celtics,99,1680.3922,1683.5133,58.871582,WSB,Wizards,96,1441.5197,1438.3986,A,W,0.68984926,,BOS_WSB,4.0,3,1,BOS
8,25738,198404170DAL,NBA,1,1984,1984-04-17,83,1,SEA,Thunder,86,1508.3549,1505.1567,41.444252,DAL,Mavericks,88,1509.9365,1513.1346,A,L,0.35784012,,SEA_DAL,1.0,2,3,DAL
9,25746,198404190DAL,NBA,1,1984,1984-04-19,84,1,SEA,Thunder,95,1505.1567,1513.1188,42.279037,DAL,Mavericks,92,1513.1346,1505.1726,A,W,0.3494243,,SEA_DAL,2.0,2,3,DAL
10,25754,198404210SEA,NBA,0,1984,1984-04-21,85,1,SEA,Thunder,104,1513.1188,1519.7954,42.978264,DAL,Mavericks,94,1505.1726,1498.496,H,W,0.65053415,"at Seattle, WA (Seattle Coliseum)",SEA_DAL,3.0,2,3,DAL
11,25765,198404240SEA,NBA,0,1984,1984-04-24,86,1,SEA,Thunder,96,1519.7954,1503.5081,41.271328,DAL,Mavericks,107,1498.496,1514.7833,H,L,0.6678009,,SEA_DAL,4.0,2,3,DAL
12,25768,198404260DAL,NBA,1,1984,1984-04-26,87,1,SEA,Thunder,104,1503.5081,1500.9462,41.002598,DAL,Mavericks,105,1514.7833,1517.3452,A,L,0.3451218,"at University Park, TX",SEA_DAL,5.0,2,3,DAL
13,25738,198404170DAL,NBA,0,1984,1984-04-17,83,1,DAL,Mavericks,88,1509.9365,1513.1346,42.280701,SEA,Thunder,86,1508.3549,1505.1567,H,W,0.64215988,,DAL_SEA,1.0,3,2,DAL
14,25746,198404190DAL,NBA,0,1984,1984-04-19,84,1,DAL,Mavericks,92,1513.1346,1505.1726,41.445915,SEA,Thunder,95,1505.1567,1513.1188,H,L,0.6505757,,DAL_SEA,2.0,3,2,DAL
15,25754,198404210SEA,NBA,1,1984,1984-04-21,85,1,DAL,Mavericks,94,1505.1726,1498.496,40.745586,SEA,Thunder,104,1513.1188,1519.7954,A,L,0.34946585,"at Seattle, WA (Seattle Coliseum)",DAL_SEA,3.0,3,2,DAL
16,25765,198404240SEA,NBA,1,1984,1984-04-24,86,1,DAL,Mavericks,107,1498.496,1514.7833,42.453445,SEA,Thunder,96,1519.7954,1503.5081,A,W,0.3321991,,DAL_SEA,4.0,3,2,DAL
17,25768,198404260DAL,NBA,0,1984,1984-04-26,87,1,DAL,Mavericks,105,1514.7833,1517.3452,42.721775,SEA,Thunder,104,1503.5081,1500.9462,H,W,0.6548782,"at University Park, TX",DAL_SEA,5.0,3,2,DAL
18,25739,198404170DET,NBA,0,1984,1984-04-17,83,1,DET,Pistons,93,1604.5631,1598.2909,51.007465,NYK,Knicks,94,1565.7726,1572.0448,H,L,0.68974823,,DET_NYK,1.0,2,3,NYK
19,25747,198404190DET,NBA,0,1984,1984-04-19,84,1,DET,Pistons,113,1598.2909,1603.6661,51.535908,NYK,Knicks,105,1572.0448,1566.6696,H,W,0.67408746,,DET_NYK,2.0,2,3,NYK
20,25759,198404220NYK,NBA,1,1984,1984-04-22,85,1,DET,Pistons,113,1603.6661,1597.0938,50.889286,NYK,Knicks,120,1566.6696,1573.2419,A,L,0.41031176,,DET_NYK,3.0,2,3,NYK
21,25767,198404250NYK,NBA,1,1984,1984-04-25,86,1,DET,Pistons,119,1597.0938,1607.9849,51.95779,NYK,Knicks,112,1573.2419,1562.3508,A,W,0.39213556,,DET_NYK,4.0,2,3,NYK
22,25773,198404270DET,NBA,0,1984,1984-04-27,87,1,DET,Pistons,123,1607.9849,1597.9901,50.977791,NYK,Knicks,127,1562.3508,1572.3456,H,L,0.69811481,,DET_NYK,5.0,2,3,NYK
23,25739,198404170DET,NBA,1,1984,1984-04-17,83,1,NYK,Knicks,94,1565.7726,1572.0448,48.379265,DET,Pistons,93,1604.5631,1598.2909,A,W,0.31025177,,NYK_DET,1.0,3,2,NYK
24,25747,198404190DET,NBA,1,1984,1984-04-19,84,1,NYK,Knicks,105,1572.0448,1566.6696,47.832371,DET,Pistons,113,1598.2909,1603.6661,A,L,0.32591254,,NYK_DET,2.0,3,2,NYK
25,25759,198404220NYK,NBA,0,1984,1984-04-22,85,1,NYK,Knicks,120,1566.6696,1573.2419,48.500702,DET,Pistons,113,1603.6661,1597.0938,H,W,0.58968824,,NYK_DET,3.0,3,2,NYK
26,25767,198404250NYK,NBA,0,1984,1984-04-25,86,1,NYK,Knicks,112,1573.2419,1562.3508,47.39114,DET,Pistons,119,1597.0938,1607.9849,H,L,0.60786444,,NYK_DET,4.0,3,2,NYK
27,25773,198404270DET,NBA,1,1984,1984-04-27,87,1,NYK,Knicks,127,1562.3508,1572.3456,48.409786,DET,Pistons,123,1607.9849,1597.9901,A,W,0.30188519,,NYK_DET,5.0,3,2,NYK
28,25740,198404170MIL,NBA,1,1984,1984-04-17,83,1,ATL,Hawks,89,1510.229,1504.9554,41.423141,MIL,Bucks,105,1629.6168,1634.8904,A,L,0.22047544,,ATL_MIL,1.0,2,3,MIL
29,25748,198404190MIL,NBA,1,1984,1984-04-19,84,1,ATL,Hawks,87,1504.9554,1500.3881,40.944057,MIL,Bucks,101,1634.8904,1639.4578,A,L,0.21021801,,ATL_MIL,2.0,2,3,MIL
30,25753,198404210ATL,NBA,0,1984,1984-04-21,85,1,ATL,Hawks,103,1500.3881,1511.5612,42.115788,MIL,Bucks,94,1639.4578,1628.2847,H,W,0.44400999,,ATL_MIL,3.0,2,3,MIL
31,25761,198404240ATL,NBA,0,1984,1984-04-24,86,1,ATL,Hawks,100,1511.5612,1517.5001,42.737995,MIL,Bucks,97,1628.2847,1622.3457,H,W,0.47595149,,ATL_MIL,4.0,2,3,MIL
32,25769,198404260MIL,NBA,1,1984,1984-04-26,87,1,ATL,Hawks,89,1517.5001,1508.8779,41.834492,MIL,Bucks,118,1622.3457,1630.9679,A,L,0.23519862,,ATL_MIL,5.0,2,3,MIL
33,25740,198404170MIL,NBA,0,1984,1984-04-17,83,1,MIL,Bucks,105,1629.6168,1634.8904,54.527142,ATL,Hawks,89,1510.229,1504.9554,H,W,0.77952456,,MIL_ATL,1.0,3,2,MIL
34,25748,198404190MIL,NBA,0,1984,1984-04-19,84,1,MIL,Bucks,101,1634.8904,1639.4578,54.952427,ATL,Hawks,87,1504.9554,1500.3881,H,W,0.78978199,,MIL_ATL,2.0,3,2,MIL
35,25753,198404210ATL,NBA,1,1984,1984-04-21,85,1,MIL,Bucks,94,1639.4578,1628.2847,53.906254,ATL,Hawks,103,1500.3881,1511.5612,A,L,0.55598998,,MIL_ATL,3.0,3,2,MIL
36,25761,198404240ATL,NBA,1,1984,1984-04-24,86,1,MIL,Bucks,97,1628.2847,1622.3457,53.342361,ATL,Hawks,100,1511.5612,1517.5001,A,L,0.52404851,,MIL_ATL,4.0,3,2,MIL
37,25769,198404260MIL,NBA,0,1984,1984-04-26,87,1,MIL,Bucks,118,1622.3457,1630.9679,54.159271,ATL,Hawks,89,1517.5001,1508.8779,H,W,0.76480138,,MIL_ATL,5.0,3,2,MIL
38,25741,198404170UTA,NBA,0,1984,1984-04-17,83,1,UTA,Jazz,123,1493.1279,1496.4536,40.531372,DEN,Nuggets,121,1500.4192,1497.0935,H,W,0.63033968,,UTA_DEN,1.0,3,2,UTA
39,25749,198404190UTA,NBA,0,1984,1984-04-19,84,1,UTA,Jazz,116,1496.4536,1476.9287,38.486431,DEN,Nuggets,132,1497.0935,1516.6184,H,L,0.63921595,,UTA_DEN,2.0,3,2,UTA
40,25756,198404220DEN,NBA,1,1984,1984-04-22,85,1,UTA,Jazz,117,1476.9287,1473.4115,38.119091,DEN,Nuggets,121,1516.6184,1520.1356,A,L,0.30914521,,UTA_DEN,3.0,3,2,UTA
41,25762,198404240DEN,NBA,1,1984,1984-04-24,86,1,UTA,Jazz,129,1473.4115,1484.5651,39.285294,DEN,Nuggets,124,1520.1356,1508.9821,A,W,0.30056435,,UTA_DEN,4.0,3,2,UTA
42,25772,198404260UTA,NBA,0,1984,1984-04-26,87,1,UTA,Jazz,127,1484.5651,1494.9827,40.377102,DEN,Nuggets,111,1508.9821,1498.5645,H,W,0.60708863,,UTA_DEN,5.0,3,2,UTA
43,25741,198404170UTA,NBA,1,1984,1984-04-17,83,1,DEN,Nuggets,121,1500.4192,1497.0935,40.598484,UTA,Jazz,123,1493.1279,1496.4536,A,L,0.36966032,,DEN_UTA,1.0,2,3,UTA
44,25749,198404190UTA,NBA,1,1984,1984-04-19,84,1,DEN,Nuggets,132,1497.0935,1516.6184,42.645664,UTA,Jazz,116,1496.4536,1476.9287,A,W,0.36078405,,DEN_UTA,2.0,2,3,UTA
45,25756,198404220DEN,NBA,0,1984,1984-04-22,85,1,DEN,Nuggets,121,1516.6184,1520.1356,43.013866,UTA,Jazz,117,1476.9287,1473.4115,H,W,0.69085479,,DEN_UTA,3.0,2,3,UTA
46,25762,198404240DEN,NBA,0,1984,1984-04-24,86,1,DEN,Nuggets,124,1520.1356,1508.9821,41.845409,UTA,Jazz,129,1473.4115,1484.5651,H,L,0.69943565,,DEN_UTA,4.0,2,3,UTA
